Proteins, RateConstant, Number of peptides, SD, Abundance
CISD3_MOUSE,    0.187415, 2,    0.047483, 1971464704.000000
CISY_MOUSE,    0.091300, 9,    0.066913, 170040705024.000000
CK054_MOUSE,    0.287463, 13,    0.056097, 284871262208.000000
CK5P3_MOUSE,    0.401056, 1,    0.268828, 1795803136.000000
CLC4F_MOUSE,    2.095293, 1,    5.903163, 3995350272.000000
CLCB_MOUSE,    0.559453, 1,    0.000000, 3125015808.000000
CLH1_MOUSE,    0.174300, 52,    0.050032, 790888906752.000000
CLIC1_MOUSE,    0.143092, 3,    0.129671, 3228400896.000000
CLIC4_MOUSE,    0.279807, 4,    0.058557, 29465845760.000000
CLPP_MOUSE,    0.261478, 1,    0.000000, 18677256192.000000
CLPT1_MOUSE,    0.803917, 3,    0.418646, 1567452032.000000
CLPX_MOUSE,    2.226167, 3,    4.616849, 15586272256.000000
CLU_MOUSE,    0.923981, 9,    0.436546, 43859951616.000000
CLYBL_MOUSE,    0.114303, 4,    0.024097, 42176364544.000000
CMAH_MOUSE,    0.207497, 1,    0.115755, 331062976.000000
CMBL_MOUSE,    0.271644, 9,    0.033802, 81199685632.000000
CMC1_MOUSE,    0.176850, 9,    0.071902, 151426433024.000000
CMC2_MOUSE,    0.155355, 26,    0.039713, 704124878848.000000
CMLO1_MOUSE,    0.624456, 2,    0.028110, 8498640896.000000
CMTD1_MOUSE,    0.232644, 1,    0.129071, 2893798912.000000
CNBP_MOUSE,    0.940238, 1,    0.181079, 3260865536.000000
CNDP2_MOUSE,    0.294556, 5,    0.035371, 52321837056.000000
CNN3_MOUSE,    0.735002, 1,    0.307304, 3130399232.000000
CNPY2_MOUSE,    0.402498, 4,    0.142493, 21293897728.000000
CO1A1_MOUSE,    0.038159, 2,    0.020039, 8122667008.000000
CO3_MOUSE,    6.642826, 16,    3.002928, 151338418176.000000
CO4A1_MOUSE,    0.170095, 1,    0.000000, 5987742208.000000
CO4A2_MOUSE,    0.030129, 3,    0.008796, 3596828416.000000
CO4B_MOUSE,    2.329115, 8,    1.349194, 10845335552.000000
CO5_MOUSE,    1.001727, 4,    0.587010, 607041792.000000
CO6A1_MOUSE,    0.005000, 7,    0.004762, 33157519360.000000
CO6A2_MOUSE,    0.001202, 5,    0.003230, 11793817600.000000
CO8A_MOUSE,    1.072915, 1,    0.274896, 156412976.000000
CO8B_MOUSE,    1.121416, 3,    1.138527, 1068841472.000000
CO8G_MOUSE,    7.764234, 4,    4.078872, 7526025216.000000
CO9_MOUSE,    8.118717, 1,    0.000000, 68013096.000000
COA7_MOUSE,    0.267836, 1,    0.000000, 138494608.000000
COASY_MOUSE,    0.308118, 9,    0.065724, 100250435584.000000
COBL1_MOUSE,    0.182990, 3,    0.144715, 4327251968.000000
COEA1_MOUSE,    0.166068, 1,    0.000000, 1938356480.000000
COF1_MOUSE,    0.456218, 6,    0.086516, 196753162240.000000
COF2_MOUSE,    0.308414, 3,    0.145158, 10889613312.000000
COIA1_MOUSE,    1.723369, 2,    0.272435, 2667716608.000000
COMT_MOUSE,    0.488469, 17,    0.115492, 422436896768.000000
COPA_MOUSE,    0.436438, 26,    0.122729, 128643735552.000000
COPB2_MOUSE,    0.222017, 6,    0.163582, 59964620800.000000
COPB_MOUSE,    0.450051, 12,    0.101823, 69049360384.000000
COPD_MOUSE,    0.676223, 4,    0.247457, 19388280832.000000
COPE_MOUSE,    0.423715, 4,    0.049080, 13285094400.000000
COPG1_MOUSE,    0.380094, 16,    0.092731, 67499843584.000000
COPG2_MOUSE,    0.374003, 4,    0.156785, 5785881600.000000
COPT1_MOUSE,    1.615518, 2,    1.005970, 4386396160.000000
COPZ1_MOUSE,    1.051621, 2,    0.588290, 3800027648.000000
COQ3_MOUSE,    0.151564, 1,    0.000000, 655226816.000000
COQ5_MOUSE,    1.073616, 2,    0.636071, 1298418176.000000
COQ6_MOUSE,    0.119959, 4,    0.030324, 8190323200.000000
COQ7_MOUSE,    0.229562, 1,    0.000000, 7724184576.000000
COQ8A_MOUSE,    0.647129, 4,    0.085066, 65499152384.000000
COQ9_MOUSE,    0.234609, 4,    0.031826, 23266183168.000000
COR1A_MOUSE,    0.848860, 2,    0.452240, 2199338240.000000
COR1B_MOUSE,    0.165648, 3,    0.052003, 18770540544.000000
COR1C_MOUSE,    0.118276, 3,    0.135064, 10166478848.000000
CORO7_MOUSE,    0.112446, 3,    0.121652, 5641898496.000000
COTL1_MOUSE,    0.129669, 1,    0.000000, 2108368640.000000
COX15_MOUSE,    0.594821, 2,    0.265914, 1901396224.000000
COX1_MOUSE,    0.088190, 4,    0.040700, 79220908032.000000
COX20_MOUSE,    0.105132, 1,    0.000000, 271546208.000000
COX2_MOUSE,    0.063687, 12,    0.069798, 591434285056.000000
COX3_MOUSE,    0.153159, 2,    0.024751, 1192422144.000000
COX41_MOUSE,    0.150738, 12,    0.041944, 541407412224.000000
COX5A_MOUSE,    0.240034, 4,    0.080794, 48656314368.000000
COX5B_MOUSE,    0.119100, 4,    0.007675, 18188861440.000000
COX6C_MOUSE,    0.169249, 9,    0.035030, 113675223040.000000
COX7R_MOUSE,    1.059165, 2,    0.391406, 1721703168.000000
CP17A_MOUSE,    0.117394, 1,    0.000000, 68557640.000000
CP1A2_MOUSE,    1.126910, 13,    0.332885, 296180383744.000000
CP20A_MOUSE,    0.088246, 1,    0.000000, 125732440.000000
CP237_MOUSE,    1.019751, 10,    0.243906, 350388420608.000000
CP240_MOUSE,    0.704280, 4,    0.129090, 144042016768.000000
CP254_MOUSE,    0.556105, 6,    0.144094, 127590514688.000000
CP255_MOUSE,    0.765173, 1,    0.487618, 2499901952.000000
CP270_MOUSE,    1.743989, 11,    3.349770, 62910775296.000000
CP27A_MOUSE,    0.458546, 8,    0.100952, 253098459136.000000
CP2A4_MOUSE,    1.859722, 4,    0.952446, 87228030976.000000
CP2A5_MOUSE,    1.899955, 8,    1.052430, 75580981248.000000
CP2AC_MOUSE,    0.573305, 18,    0.160740, 397085212672.000000
CP2CN_MOUSE,    1.511516, 7,    0.445548, 121347350528.000000
CP2CT_MOUSE,    0.960328, 17,    0.234622, 743129677824.000000
CP2D9_MOUSE,    0.901816, 12,    0.239614, 521793339392.000000
CP2DA_MOUSE,    0.725472, 12,    0.170594, 626582487040.000000
CP2DB_MOUSE,    0.599338, 2,    0.012887, 15815353344.000000
CP2DQ_MOUSE,    0.953306, 17,    0.207876, 389472550912.000000
CP2E1_MOUSE,    1.797955, 8,    0.430401, 551266615296.000000
CP2F2_MOUSE,    0.962744, 15,    0.207576, 730381484032.000000
CP2J5_MOUSE,    1.268350, 10,    0.278416, 43645452288.000000
CP341_MOUSE,    3.751936, 9,    1.037119, 118902956032.000000
CP3AB_MOUSE,    1.548357, 8,    2.454202, 593163059200.000000
CP3AD_MOUSE,    0.697966, 7,    0.236721, 34297610240.000000
CP3AP_MOUSE,    1.571124, 5,    0.896364, 3322471680.000000
CP4AA_MOUSE,    1.145945, 4,    0.713680, 8824421376.000000
CP4AE_MOUSE,    0.722241, 4,    0.042201, 48227127296.000000
CP4B1_MOUSE,    0.013599, 5,    0.080252, 5928418816.000000
CP4CA_MOUSE,    0.651564, 10,    0.212260, 122923941888.000000
CP4CB_MOUSE,    0.277588, 0,    0.188360, 1483054336.000000
CP4F3_MOUSE,    0.382498, 2,    0.267207, 1428898816.000000
CP4FE_MOUSE,    0.647995, 4,    0.109676, 10913573888.000000
CP4V2_MOUSE,    1.093756, 4,    0.622624, 29812740096.000000
CP51A_MOUSE,    1.188706, 4,    0.123652, 37403205632.000000
CP7A1_MOUSE,    2.094995, 3,    3.636461, 1153830016.000000
CP7B1_MOUSE,    0.966379, 4,    0.042419, 92810059776.000000
CP8B1_MOUSE,    1.781585, 4,    0.888450, 21306474496.000000
CPNE1_MOUSE,    0.592555, 3,    0.217796, 3494082304.000000
CPNE3_MOUSE,    0.378728, 4,    0.350411, 19538812928.000000
CPNS1_MOUSE,    0.363616, 6,    0.255995, 9176507392.000000
CPPED_MOUSE,    0.642916, 5,    0.485096, 6392920064.000000
CPSF1_MOUSE,    1.066706, 1,    0.642647, 367185472.000000
CPSF5_MOUSE,    0.313268, 2,    0.535075, 3679216384.000000
CPSF6_MOUSE,    2.247686, 2,    1.403795, 328745472.000000
CPSM_MOUSE,    0.136268, 137,    0.038879, 47925312880640.000000
CPT1A_MOUSE,    0.397462, 8,    0.084955, 93888233472.000000
CPT2_MOUSE,    0.226474, 20,    0.049774, 197181259776.000000
CR1L_MOUSE,    0.262089, 1,    0.000000, 141460912.000000
CRADD_MOUSE,    0.155262, 0,    0.000000, 21255176.000000
CREG1_MOUSE,    1.713230, 2,    1.058144, 29298495488.000000
CREL2_MOUSE,    0.115857, 2,    0.313735, 3818381568.000000
CRIP2_MOUSE,    0.262147, 3,    0.005676, 29501325312.000000
CRKL_MOUSE,    0.339551, 2,    0.071195, 1021799232.000000
CRK_MOUSE,    0.342145, 3,    0.080926, 5378245632.000000
CRYL1_MOUSE,    0.111188, 4,    0.092781, 10499634176.000000
CSAD_MOUSE,    0.265398, 23,    0.063478, 1101626343424.000000
CSDE1_MOUSE,    1.950397, 2,    1.116610, 3726617600.000000
CSK21_MOUSE,    0.756679, 4,    0.844951, 6617400320.000000
CSK2B_MOUSE,    0.151084, 1,    0.000000, 295364544.000000
CSN1_MOUSE,    0.356606, 1,    0.000000, 1183470848.000000
CSN2_MOUSE,    0.243732, 3,    0.145173, 5919778304.000000
CSN3_MOUSE,    0.325786, 2,    0.101987, 4930836992.000000
CSN4_MOUSE,    0.281195, 4,    0.106018, 7880790016.000000
CSN5_MOUSE,    0.622933, 2,    0.919688, 1169889792.000000
CSN6_MOUSE,    0.311426, 2,    0.116894, 6214322176.000000
CSN8_MOUSE,    0.300047, 2,    0.058334, 6074689536.000000
CSRP1_MOUSE,    0.099564, 2,    0.069502, 1961626368.000000
CSRP3_MOUSE,    0.480058, 4,    1.056475, 4514014720.000000
CTL1_MOUSE,    0.383145, 1,    0.000000, 165563600.000000
CTNA1_MOUSE,    0.617520, 8,    0.116846, 58564169728.000000
CTNA2_MOUSE,    0.637308, 1,    0.000000, 624216896.000000
CTNB1_MOUSE,    0.419599, 9,    0.138286, 27745589248.000000
CTND1_MOUSE,    0.678721, 7,    0.122644, 16984774656.000000
CUL1_MOUSE,    0.379601, 2,    0.126269, 551573952.000000
CUL2_MOUSE,    0.489086, 2,    0.210385, 1327708032.000000
CUL3_MOUSE,    0.246937, 2,    0.279007, 1542762368.000000
CUL4A_MOUSE,    2.569759, 2,    1.173471, 1584811904.000000
CUTC_MOUSE,    0.356372, 2,    0.250741, 1223221248.000000
CX6B1_MOUSE,    0.216838, 4,    0.020001, 223062392832.000000
CX7A2_MOUSE,    0.211172, 1,    3.747073, 9517860864.000000
CXB1_MOUSE,    2.323662, 2,    1.642345, 7119076352.000000
CY1_MOUSE,    0.122814, 7,    0.021712, 311958274048.000000
CY250_MOUSE,    0.884919, 4,    0.163391, 62905950208.000000
CYB5B_MOUSE,    0.265195, 4,    0.026930, 183725670400.000000
CYB5_MOUSE,    0.409478, 6,    0.103581, 805072470016.000000
CYBC1_MOUSE,    0.324743, 1,    0.000000, 195056464.000000
CYBP_MOUSE,    0.635925, 3,    0.276268, 11368781824.000000
CYC_MOUSE,    0.170040, 7,    0.019625, 221743562752.000000
CYFP2_MOUSE,    0.334082, 0,    0.096001, 574898368.000000
CYRIB_MOUSE,    0.104147, 3,    0.090536, 86706648.000000
CYTB_MOUSE,    0.255247, 4,    0.022782, 33058009088.000000
D19L1_MOUSE,    0.218224, 2,    0.120473, 257370736.000000
D39U1_MOUSE,    0.456944, 2,    0.230180, 518995552.000000
DAD1_MOUSE,    0.180903, 1,    0.000000, 6012438016.000000
DAZP1_MOUSE,    0.270110, 4,    0.023128, 7548089344.000000
DBNL_MOUSE,    0.389591, 3,    0.200962, 5081911296.000000
DC1I2_MOUSE,    0.458510, 4,    0.139186, 2456759040.000000
DCA11_MOUSE,    2.835744, 1,    1.521404, 391620448.000000
DCMC_MOUSE,    0.157385, 4,    0.028356, 34935140352.000000
DCNL1_MOUSE,    0.573439, 1,    0.000000, 1473314176.000000
DCPS_MOUSE,    0.331422, 3,    0.137230, 3352952576.000000
DCTN1_MOUSE,    0.258924, 0,    0.438420, 1118401280.000000
DCTN2_MOUSE,    2.142983, 2,    1.303291, 1668105600.000000
DCUP_MOUSE,    0.689336, 4,    0.321338, 20536262656.000000
DCXR_MOUSE,    0.197513, 4,    0.064318, 77683597312.000000
DD19A_MOUSE,    1.087115, 1,    0.639176, 752811968.000000
DDAH1_MOUSE,    0.192051, 6,    0.058177, 71564206080.000000
DDB1_MOUSE,    0.445567, 4,    0.146277, 17687330816.000000
DDC_MOUSE,    0.217011, 4,    0.029331, 70233849856.000000
DDI2_MOUSE,    0.478713, 4,    0.221355, 21896374272.000000
DDRGK_MOUSE,    0.489357, 3,    0.657959, 1887778176.000000
DDX17_MOUSE,    1.355891, 4,    1.918900, 26542053376.000000
DDX1_MOUSE,    0.266627, 9,    0.068347, 38290432000.000000
DDX21_MOUSE,    0.511108, 1,    0.169701, 967093056.000000
DDX3X_MOUSE,    1.439671, 5,    0.324468, 45424496640.000000
DDX3Y_MOUSE,    0.538607, 1,    0.000000, 3329934080.000000
DDX46_MOUSE,    0.301772, 1,    0.000000, 312688704.000000
DDX58_MOUSE,    0.241611, 2,    0.169877, 705197696.000000
DDX5_MOUSE,    2.078541, 2,    0.499509, 7092801536.000000
DDX6_MOUSE,    0.646793, 4,    0.235777, 1579815552.000000
DECR2_MOUSE,    0.499002, 6,    0.042414, 130085535744.000000
DECR_MOUSE,    0.131667, 12,    0.032534, 583196344320.000000
DEK_MOUSE,    0.454990, 2,    0.267894, 438393952.000000
DENR_MOUSE,    0.118495, 3,    0.364448, 5125527552.000000
DEOC_MOUSE,    0.542148, 3,    0.093001, 25079439360.000000
DERL2_MOUSE,    0.215741, 1,    0.000000, 2125006592.000000
DESM_MOUSE,    0.098890, 4,    0.067244, 14884927488.000000
DESP_MOUSE,    0.431950, 4,    0.240944, 5878758400.000000
DEST_MOUSE,    0.482166, 5,    0.087377, 68325179392.000000
DGAT1_MOUSE,    0.065858, 1,    0.000000, 3527248128.000000
DGUOK_MOUSE,    0.000252, 1,    1.354680, 2098342656.000000
DHB11_MOUSE,    0.789094, 5,    0.206778, 35646832640.000000
DHB12_MOUSE,    0.350108, 11,    0.079385, 180780580864.000000
DHB13_MOUSE,    0.560239, 7,    0.104987, 211805126656.000000
DHB2_MOUSE,    0.479463, 7,    0.080869, 81672634368.000000
DHB4_MOUSE,    0.687509, 27,    0.187949, 963972169728.000000
DHB5_MOUSE,    0.256574, 20,    0.058486, 1788574171136.000000
DHB7_MOUSE,    0.419703, 5,    0.352244, 16989277184.000000
DHB8_MOUSE,    0.103540, 4,    0.020416, 81992572928.000000
DHC24_MOUSE,    1.129471, 2,    0.342081, 13186756608.000000
DHCR7_MOUSE,    0.466201, 2,    0.184869, 19475806208.000000
DHDH_MOUSE,    0.218028, 12,    0.038833, 154862731264.000000
DHE3_MOUSE,    0.145440, 44,    0.038458, 5155899572224.000000
DHI1_MOUSE,    0.277786, 9,    0.048887, 450289664000.000000
DHPR_MOUSE,    0.250005, 16,    0.074391, 628274757632.000000
DHR11_MOUSE,    0.435596, 2,    0.199963, 4996826624.000000
DHRS1_MOUSE,    0.374049, 11,    0.082879, 121758474240.000000
DHRS4_MOUSE,    0.278921, 7,    0.042137, 144421306368.000000
DHRS7_MOUSE,    0.194501, 2,    0.236374, 1154813312.000000
DHSO_MOUSE,    0.257033, 31,    0.056797, 2809086083072.000000
DHTK1_MOUSE,    0.243460, 5,    0.027313, 5553036288.000000
DHX15_MOUSE,    0.984334, 4,    0.850403, 7802973696.000000
DHX29_MOUSE,    0.284199, 2,    0.021445, 259994064.000000
DHX9_MOUSE,    0.460657, 10,    0.107360, 28631367680.000000
DIC_MOUSE,    0.278717, 9,    0.033825, 200347369472.000000
DJB11_MOUSE,    0.319636, 4,    0.033940, 26839349248.000000
DJB12_MOUSE,    0.401437, 1,    0.000000, 265808272.000000
DJC11_MOUSE,    0.217789, 4,    0.056902, 8635821056.000000
DKC1_MOUSE,    0.080425, 4,    0.019319, 10984138752.000000
DLDH_MOUSE,    0.127032, 9,    0.017432, 338493341696.000000
DLG1_MOUSE,    0.184267, 5,    0.074013, 2088488576.000000
DNJA1_MOUSE,    1.147940, 5,    0.430633, 29168586752.000000
DNJA2_MOUSE,    0.563272, 4,    0.186413, 5336023040.000000
DNJA3_MOUSE,    0.420069, 0,    0.658552, 4319136256.000000
DNJB4_MOUSE,    1.696056, 1,    1.076575, 819482880.000000
DNJC3_MOUSE,    0.884226, 6,    0.382144, 12984486912.000000
DNM1L_MOUSE,    0.351708, 7,    0.089646, 13185702912.000000
DNPEP_MOUSE,    0.239160, 9,    0.069995, 83066503168.000000
DOPD_MOUSE,    0.209850, 10,    0.050018, 1568764461056.000000
DPM1_MOUSE,    0.933610, 2,    0.013762, 691929728.000000
DPP2_MOUSE,    0.102485, 3,    0.016706, 16388819968.000000
DPP3_MOUSE,    0.307337, 4,    0.008155, 28361648128.000000
DPP4_MOUSE,    0.118235, 9,    0.024205, 131380117504.000000
DPP9_MOUSE,    0.757228, 2,    0.006966, 623678912.000000
DPTOR_MOUSE,    1.036300, 2,    0.663541, 2347711232.000000
DPYD_MOUSE,    0.807977, 19,    0.212294, 160554713088.000000
DPYL2_MOUSE,    0.073214, 7,    0.047718, 20453275648.000000
DPYL3_MOUSE,    0.046022, 0,    0.000000, 64323876.000000
DPYL4_MOUSE,    0.028431, 1,    0.000000, 18930244.000000
DPYS_MOUSE,    0.286077, 12,    0.064225, 249186713600.000000
DRG1_MOUSE,    0.379561, 4,    0.104499, 1823242880.000000
DRS7B_MOUSE,    0.601920, 1,    0.000000, 3395327488.000000
DSG2_MOUSE,    2.804274, 5,    2.410204, 5054322688.000000
DTD2_MOUSE,    0.352118, 2,    0.107288, 899644288.000000
DTX3L_MOUSE,    0.821055, 2,    0.359556, 2026711040.000000
DUS3_MOUSE,    0.446478, 2,    0.005622, 8825068544.000000
DX39A_MOUSE,    0.089575, 5,    0.066837, 15550241792.000000
DX39B_MOUSE,    0.035255, 4,    0.044044, 25646229504.000000
DYHC1_MOUSE,    0.393237, 14,    0.102534, 30045315072.000000
DYL1_MOUSE,    0.249667, 3,    0.163980, 4008893440.000000
DYL2_MOUSE,    0.263938, 2,    0.077850, 11361842176.000000
DYN2_MOUSE,    0.153406, 4,    0.058730, 10084117504.000000
DYR_MOUSE,    0.280015, 4,    0.047982, 42606006272.000000
E2AK2_MOUSE,    0.441062, 0,    0.000000, 373975232.000000
E41L2_MOUSE,    0.298913, 2,    0.023998, 574246592.000000
E41L5_MOUSE,    0.718727, 1,    0.000000, 1133392128.000000
EBP_MOUSE,    0.382927, 1,    0.080002, 37003915264.000000
ECH1_MOUSE,    0.648799, 7,    0.146303, 101249376256.000000
ECHA_MOUSE,    0.172342, 35,    0.047608, 1984061898752.000000
ECHB_MOUSE,    0.139457, 18,    0.034502, 867126345728.000000
ECHD1_MOUSE,    0.406254, 1,    0.000000, 34813648896.000000
ECHD2_MOUSE,    0.137095, 5,    0.016271, 128784482304.000000
ECHD3_MOUSE,    0.182297, 4,    0.026685, 65619111936.000000
ECHM_MOUSE,    0.155943, 8,    0.031058, 482827763712.000000
ECHP_MOUSE,    0.345069, 33,    0.085573, 975132753920.000000
ECI1_MOUSE,    0.151495, 9,    0.020050, 468299382784.000000
ECI2_MOUSE,    0.316126, 6,    0.050104, 99604725760.000000
ECI3_MOUSE,    0.115997, 0,    0.450257, 535481024.000000
ECM29_MOUSE,    0.637820, 5,    0.212804, 1505201792.000000
ECSIT_MOUSE,    9.497965, 1,    6.589914, 382811360.000000
EDF1_MOUSE,    3.808863, 1,    0.044280, 4973588480.000000
EEA1_MOUSE,    0.240998, 4,    0.069236, 7109949440.000000
EF1A1_MOUSE,    0.189208, 18,    0.052759, 4589184614400.000000
EF1B_MOUSE,    0.176081, 5,    0.026269, 124978536448.000000
EF1D_MOUSE,    0.151620, 6,    0.034950, 151157882880.000000
EF1G_MOUSE,    0.104136, 12,    0.028247, 355562815488.000000
EF2_MOUSE,    0.408278, 31,    0.113422, 1217762820096.000000
EFGM_MOUSE,    1.069717, 3,    5.461091, 4065206272.000000
EFHD2_MOUSE,    2.234692, 1,    0.000000, 278614304.000000
EFL1_MOUSE,    0.460798, 1,    0.000000, 2555111936.000000
EFTS_MOUSE,    0.404567, 2,    0.188673, 7734642176.000000
EFTU_MOUSE,    0.178462, 20,    0.038811, 287492014080.000000
EGFR_MOUSE,    1.689160, 7,    0.355774, 50093015040.000000
EHD1_MOUSE,    0.238224, 4,    0.024941, 30550147072.000000
EHD3_MOUSE,    0.368073, 4,    0.118450, 20539820032.000000
EI2BB_MOUSE,    0.357861, 1,    0.000000, 872072384.000000
EI2BD_MOUSE,    0.764899, 4,    0.254481, 3101755392.000000
EI3JA_MOUSE,    0.844861, 2,    0.445984, 15182366720.000000
EIF1B_MOUSE,    0.400604, 1,    4.808708, 2368770560.000000
EIF2A_MOUSE,    0.369833, 4,    0.046880, 16339973120.000000
EIF3A_MOUSE,    0.419274, 7,    0.078280, 46549553152.000000
EIF3B_MOUSE,    0.348979, 7,    0.063946, 21219399680.000000
EIF3C_MOUSE,    0.438575, 7,    0.105074, 22522695680.000000
EIF3D_MOUSE,    0.241578, 6,    0.081949, 34107662336.000000
EIF3E_MOUSE,    0.315262, 7,    0.135896, 14356733952.000000
EIF3F_MOUSE,    0.431469, 4,    0.272058, 29342580736.000000
EIF3G_MOUSE,    0.434646, 2,    0.059662, 3624717568.000000
EIF3H_MOUSE,    0.315105, 4,    0.079236, 7306318336.000000
EIF3I_MOUSE,    0.952051, 4,    0.969379, 17909456896.000000
EIF3K_MOUSE,    0.266787, 1,    0.084337, 1373665536.000000
EIF3L_MOUSE,    0.375196, 4,    0.047108, 21593401344.000000
EIF3M_MOUSE,    0.281963, 5,    0.027831, 17517965312.000000
EKI2_MOUSE,    1.024877, 1,    0.000000, 85842776.000000
ELAV1_MOUSE,    0.816069, 4,    0.828208, 22221217792.000000
ELOB_MOUSE,    8.689988, 0,    0.000000, 622585856.000000
ELOC_MOUSE,    0.597842, 3,    0.135461, 11717924864.000000
ELOV2_MOUSE,    1.678316, 2,    0.260386, 11909572608.000000
ELP1_MOUSE,    0.103701, 1,    0.000000, 133847072.000000
EMAL2_MOUSE,    0.146438, 1,    0.000000, 919321792.000000
EMC1_MOUSE,    0.234329, 4,    0.055494, 14894935040.000000
EMC2_MOUSE,    0.275095, 3,    0.255192, 7697292800.000000
EMC3_MOUSE,    0.286236, 3,    0.235284, 2309028864.000000
EMC4_MOUSE,    0.204088, 0,    0.000000, 1258457088.000000
EMC8_MOUSE,    0.164612, 4,    0.130244, 691013824.000000
ENOA_MOUSE,    0.213399, 21,    0.053472, 2396640772096.000000
ENOB_MOUSE,    0.201443, 2,    0.030409, 206303232000.000000
ENOG_MOUSE,    0.159781, 1,    0.000000, 453010752.000000
ENPL_MOUSE,    0.377622, 40,    0.103616, 1623754407936.000000
ENPP1_MOUSE,    0.250317, 2,    0.146381, 2109499904.000000
ENTP5_MOUSE,    0.755042, 5,    0.081959, 57449824256.000000
EPB41_MOUSE,    0.336181, 2,    0.058448, 2550479616.000000
EPB42_MOUSE,    0.000229, 0,    0.000000, 79622304.000000
EPIPL_MOUSE,    0.545870, 10,    0.204406, 26667880448.000000
EPN1_MOUSE,    0.116939, 2,    0.081069, 643662016.000000
EPN4_MOUSE,    1.029236, 3,    0.328237, 5155992576.000000
EPT1_MOUSE,    0.000127, 0,    0.000000, 2066803584.000000
ERAP1_MOUSE,    0.499534, 10,    0.122886, 43404869632.000000
ERF1_MOUSE,    0.385728, 3,    0.307937, 2387169280.000000
ERF3A_MOUSE,    0.322313, 3,    0.267606, 8065358848.000000
ERF3B_MOUSE,    0.229615, 1,    0.220338, 4516432896.000000
ERG24_MOUSE,    0.357127, 3,    0.092724, 18772252672.000000
ERG28_MOUSE,    0.252391, 0,    0.068330, 949799488.000000
ERGI1_MOUSE,    0.320920, 3,    0.198164, 6863592960.000000
ERH_MOUSE,    0.348413, 1,    0.000000, 319718144.000000
ERLN1_MOUSE,    0.194197, 2,    0.113170, 1005718400.000000
ERLN2_MOUSE,    0.525196, 4,    0.744359, 7629585920.000000
ERMP1_MOUSE,    0.267791, 3,    0.411548, 1318578560.000000
ERO1A_MOUSE,    0.183295, 3,    0.162099, 13664443392.000000
ERO1B_MOUSE,    1.017849, 4,    1.286756, 1011673216.000000
ERP29_MOUSE,    0.400124, 4,    0.087754, 26172071936.000000
ERP44_MOUSE,    0.363246, 4,    0.025971, 61289476096.000000
ES8L2_MOUSE,    0.716168, 6,    0.162836, 8285874176.000000
EST1C_MOUSE,    1.335270, 6,    0.562887, 539420229632.000000
EST1D_MOUSE,    0.345225, 28,    0.094285, 1797074976768.000000
EST1E_MOUSE,    0.557248, 7,    0.395993, 251394359296.000000
EST1F_MOUSE,    0.306242, 21,    0.082936, 912210264064.000000
EST1_MOUSE,    0.242218, 9,    0.060911, 252008120320.000000
EST2A_MOUSE,    0.332167, 22,    0.076622, 851606568960.000000
EST2C_MOUSE,    0.227185, 13,    0.078645, 209777344512.000000
EST2E_MOUSE,    0.341323, 7,    0.061228, 192167624704.000000
EST3A_MOUSE,    0.424365, 21,    0.078305, 2007408181248.000000
EST3B_MOUSE,    0.313508, 9,    0.029302, 378923286528.000000
ESTD_MOUSE,    0.191640, 16,    0.039588, 481773944832.000000
ESYT1_MOUSE,    0.165274, 1,    0.000000, 1833481088.000000
ETFA_MOUSE,    0.161903, 15,    0.034677, 1798456344576.000000
ETFB_MOUSE,    0.142421, 17,    0.036932, 1361758781440.000000
ETFD_MOUSE,    0.120400, 11,    0.033176, 455868973056.000000
ETHE1_MOUSE,    0.164800, 9,    0.036602, 104445075456.000000
EWS_MOUSE,    0.391091, 2,    0.101218, 1276112768.000000
EZRI_MOUSE,    0.219645, 4,    0.130403, 33090883584.000000
F10A1_MOUSE,    1.092484, 2,    0.164072, 30157242368.000000
F1142_MOUSE,    0.365091, 2,    0.168121, 387396736.000000
F120A_MOUSE,    0.488728, 8,    0.191337, 9521200128.000000
F162A_MOUSE,    0.206827, 4,    0.055070, 12147749888.000000
F16P1_MOUSE,    0.341786, 34,    0.067045, 3108808425472.000000
F234A_MOUSE,    0.000437, 0,    0.000006, 141022192.000000
F261_MOUSE,    0.371601, 5,    0.138974, 17431261184.000000
FA98A_MOUSE,    0.448290, 2,    0.027575, 3015416832.000000
FAAA_MOUSE,    0.203612, 24,    0.050115, 1736832188416.000000
FAAH1_MOUSE,    0.392835, 14,    0.103296, 97977049088.000000
FABD_MOUSE,    0.327322, 3,    0.083709, 2037138944.000000
FABP4_MOUSE,    0.662228, 2,    0.309218, 12644811776.000000
FABP5_MOUSE,    0.248751, 10,    0.051016, 64155406336.000000
FABPI_MOUSE,    0.224501, 0,    0.000000, 7316582400.000000
FABPL_MOUSE,    0.253991, 17,    0.051839, 19495626211328.000000
FACE1_MOUSE,    0.464584, 2,    0.196307, 8612035584.000000
FAD1_MOUSE,    0.450325, 5,    0.162799, 10020843520.000000
FADS1_MOUSE,    1.394741, 2,    0.051238, 5825315840.000000
FADS2_MOUSE,    8.306230, 4,    3.843580, 9537337344.000000
FAF2_MOUSE,    0.523247, 3,    0.169667, 7483281920.000000
FAHD1_MOUSE,    0.187995, 3,    0.147396, 44402372608.000000
FAHD2_MOUSE,    0.138322, 5,    0.032415, 45293633536.000000
FAKD4_MOUSE,    2.548334, 2,    1.602065, 472908256.000000
